BackMop,A,B,S
7104.72,NaN,NaN,NaN
7105.23,0.002168208360672,0.0404092160363992,2
7105.72,0.00337395444512367,0.0327599979937077,307
7106.22,0.00668776966631413,0.0569739987452825,298
7106.72,0.00277028232812881,0.0441207624971867,29
7107.21,0.00929475761950016,0.0674163056537509,205
7107.7,0.00252057239413261,0.0504620966191093,74
7108.21,0.0116520822048187,0.0725450019041697,235
7108.69,0.00330411083996296,0.0455939282352726,16
7109.19,0.00110102817416191,0.0411875983700156,49
7109.68,NaN,NaN,NaN
7110.19,NaN,NaN,NaN
7110.69,0.00197975896298885,0.0400463783492645,319
7111.19,0.00209912657737732,0.0530881732702255,55
7111.71,NaN,NaN,NaN
7112.23,0.00344425067305565,0.0527150304988027,358
7112.73,0.00566111691296101,0.0441040551910798,294
7113.24,0.00143419578671455,0.0538526568561792,313
7113.73,0.00264985486865044,0.045697504033645,319
7114.21,0.00143279880285263,0.0401564526061217,-3
7114.7,0.0058265533298254,0.0444970699027181,37
7115.21,0.00231508444994688,0.027270071208477,45
7115.71,0.00152122788131237,0.0301814021853109,335
7116.21,0.00674018263816833,0.0494797055919965,361
7116.7,0.00425932556390762,0.0499395585308472,34
7117.19,0.00446603819727898,0.0434530839944879,-6
7117.68,0.00585146993398666,0.0604729748641451,319
7118.17,0.00802113674581051,0.0584079654266437,307
7118.62,0.0029873214662075,0.0536624149729808,245
7119.11,0.00318693928420544,0.0464670490473509,98
7119.64,NaN,NaN,NaN
7120.2,NaN,NaN,NaN
7120.71,0.00192090310156345,0.0423449544856946,-2
7121.21,0.00384951755404472,0.0482261839012305,364
7121.69,0.00423800572752953,0.0470120739191771,10
7122.19,0.00332522019743919,0.0469165220856667,-3
7122.72,0.00217880122363567,0.0341232928136984,103
7123.25,0.00201614014804363,0.0378897230451306,328
7123.73,0.00843433104455471,0.061943642484645,332
7124.21,NaN,NaN,NaN
7124.69,4.17977571487427e-05,0.0054658775528272,343
7125.18,0.00131144560873508,0.0374472082282106,360
7125.67,0.00491373427212238,0.0471529786785444,320
7126.16,0.00498343259096146,0.0460386152068774,325
7126.64,0.00535241514444351,0.0415526389454802,27
7127.14,0.00273472629487514,0.0439503754799565,360
7127.63,0.00159391574561596,0.0344200367107987,213
7128.14,0.00385887920856476,0.0385941086957852,216
7128.65,0.00130235590040684,0.0359022052337726,85
7129.18,0.00211111921817064,0.0313756104248265,55
7129.72,0.0012187622487545,0.0355825905377666,38
7130.23,0.00176637433469296,0.0240459594254692,290
7130.71,0.00128129217773676,0.0279154945164919,28
7131.2,0.00530287995934486,0.0489922510460019,307
7131.68,0.0057974886149168,0.0402026483789086,85
7132.16,0.00317957997322083,0.0544864830250541,362
7132.63,0.00239835493266582,0.0526218066612879,318
7133.13,0.00106233917176723,0.0409888131543994,-5
7133.62,0.00274350866675377,0.0404329312344392,13
7134.12,0.000892804935574532,0.0324773248285055,204
7134.61,0.00223965384066105,0.0307820308953524,205
7135.1,0.000272771343588829,0.0161831870985528,360
