mop_id,lat,lon,shore_normal,depth
DN163,41.70948,-124.16395,250.52,15.0
DN164,41.7112,-124.16517,251.0,15.0
DN165,41.71242,-124.16573,249.0,15.0
DN166,41.71359,-124.16666,247.49,15.0
DN167,41.71503,-124.16749,246.5,15.0
DN168,41.71646,-124.16813,245.48,15.0
DN169,41.71723,-124.16883,241.89,15.0
DN170,41.71844,-124.17047,241.51,15.0
DN171,41.72034,-124.17236,243.49,15.01
DN172,41.72096,-124.17372,240.56,15.01
DN173,41.72171,-124.17476,238.0,15.0
DN174,41.72242,-124.17552,235.0,15.0
DN175,41.72242,-124.17552,228.98,15.0
DN176,41.72242,-124.17552,223.14,15.0
DN177,41.72242,-124.17552,217.58,15.0
DN178,41.72242,-124.17552,211.99,15.0
DN179,41.72242,-124.17552,206.92,15.0
DN180,41.72242,-124.17552,201.85,15.0
DN181,41.72242,-124.17552,196.96,15.0
DN182,41.72242,-124.17552,192.43,15.0
DN183,41.72242,-124.17552,187.79,15.0
DN184,41.72242,-124.17552,183.36,15.0
DN185,41.72242,-124.17552,178.69,15.0
DN186,41.72242,-124.17552,174.12,15.0
DN187,41.72242,-124.17552,170.8,15.0
DN188,41.72242,-124.17552,167.0,15.0
DN189,41.72242,-124.17552,163.13,15.0
DN190,41.72242,-124.17552,157.7,15.0
DN191,41.72242,-124.17552,151.7,15.0
DN192,41.72684,-124.1825,155.5,14.59
DN193,41.72899,-124.18946,172.98,15.0
DN194,41.7303,-124.19456,191.54,15.0
DN195,41.73313,-124.19858,215.99,15.0
DN196,41.73606,-124.20078,239.46,15.58
DN197,41.73563,-124.20667,239.97,15.06
DN198,41.73767,-124.20782,243.0,14.99
DN199,41.73864,-124.21002,241.97,15.02
DN200,41.73883,-124.21043,232.43,15.01
DN201,41.73885,-124.21232,227.48,15.01
DN202,41.73951,-124.21324,223.01,15.01
DN203,41.74035,-124.21405,218.51,15.02
DN204,41.74083,-124.21484,212.79,15.13
DN205,41.74137,-124.21505,204.51,15.01
DN206,41.74193,-124.21536,196.49,15.01
DN207,41.74203,-124.21543,187.1,15.0
DN208,41.74501,-124.22175,216.54,15.01
DN209,41.74839,-124.22804,248.52,15.01
DN210,41.74839,-124.22804,240.49,15.01
DN211,41.74839,-124.22804,231.44,15.01
DN212,41.74889,-124.22839,224.55,15.01
DN213,41.75219,-124.23055,236.56,15.02
DN214,41.75421,-124.23447,246.44,15.0
DN215,41.75421,-124.23447,236.61,15.0
DN216,41.75421,-124.23447,226.9,15.0
DN217,41.75351,-124.23701,222.0,15.0
DN218,41.75417,-124.23888,220.53,14.98
DN219,41.755,-124.2418,222.52,12.15
DN220,41.75602,-124.243,220.51,15.03
DN221,41.7575,-124.24182,212.52,14.14
DN222,41.75785,-124.24414,212.02,14.99
DN223,41.75824,-124.24618,210.8,15.03
DN224,41.75824,-124.24618,203.31,15.03
DN225,41.75824,-124.24618,196.43,15.03
DN226,41.75824,-124.24618,189.51,15.03
HU503,40.7155,-124.27864,301.5,15.01
HU504,40.71664,-124.27635,302.01,15.0
HU505,40.71812,-124.27576,300.52,15.0
HU506,40.71965,-124.27441,300.5,15.0
HU507,40.721,-124.27334,299.47,15.13
HU508,40.72224,-124.27207,297.99,15.0
